CREDIT_BALANCE,SEX,EDUCATION,MARRIAGE,AGE_CATEGORY,PAYMENT_DECEMBER,PAYMENT_NOVEMBER,BILL_AMOUNT_DECEMBER,BILL_AMOUNT_NOVEMBER,AMOUNT_PAID_DECEMBER,AMOUNT_PAID_NOVEMBER,STATUS,STATE,OCCUPATION,CREDIT_RATING,TENURE_RANGE,AVERAGE_SPEND
6000,Female,High School,Single,21-30,Within Due Date,Within Due Date,$5000 to $10000,$5000 to $10000,Less than $1000,Less than $1000,Active,Washington,Salaried,Prime,15 to 20 months,"$5,000 to $10,000"
8100,Male,University,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Prime,More than 25 months,"Less than $1,000"
3900,Male,High School,Married,Above 50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Ohio,Business,Near Prime,20 to 25 months,"$1,000 to $5,000"
1500,Male,University,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Ohio,Business,Sub Prime,10 to 15 months,"$1,000 to $5,000"
6000,Female,High School,Single,41-50,Within Due Date,Within Due Date,$5000 to $10000,$5000 to $10000,Less than $1000,Less than $1000,Churn,Virginia,Salaried,Prime,20 to 25 months,"$5,000 to $10,000"
9900,Female,Graduate School,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Prime,15 to 20 months,"Less than $1,000"
10800,Female,Graduate School,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Virginia,Business,Sub Prime,Less than 10 months,"$1,000 to $5,000"
6300,Female,Graduate School,Married,41-50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,$1000 to $5000,Less than $1000,Active,Ohio,Business,Prime,More than 25 months,"$1,000 to $5,000"
5400,Male,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Salaried,Prime,20 to 25 months,"Less than $1,000"
1800,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Sub Prime,Less than 10 months,"Less than $1,000"
900,Male,High School,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
8400,Female,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,$1000 to $5000,$1000 to $5000,Less than $1000,Churn,Ohio,Business,Prime,More than 25 months,"Less than $1,000"
1500,Female,High School,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Business,Sub Prime,Less than 10 months,"Less than $1,000"
2400,Female,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Near Prime,15 to 20 months,"Less than $1,000"
11400,Male,Graduate School,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Florida,Salaried,Sub Prime,10 to 15 months,"More than $20,000"
1200,Male,University,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Sub Prime,Less than 10 months,"Less than $1,000"
6600,Female,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Business,Prime,20 to 25 months,"Less than $1,000"
10800,Male,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,$1000 to $5000,$1000 to $5000,Less than $1000,Active,Washington,Salaried,Super Prime,15 to 20 months,"Less than $1,000"
1500,Male,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Sub Prime,10 to 15 months,"Less than $1,000"
3300,Male,High School,Single,41-50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Business,Near Prime,Less than 10 months,"$1,000 to $5,000"
1500,Female,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Sub Prime,10 to 15 months,"Less than $1,000"
5700,Female,University,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Prime,More than 25 months,"$1,000 to $5,000"
4500,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Near Prime,20 to 25 months,"Less than $1,000"
9600,Male,University,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Prime,20 to 25 months,"Less than $1,000"
600,Male,University,Single,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
1500,Male,Graduate School,Others,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Salaried,Sub Prime,10 to 15 months,"Less than $1,000"
10800,Female,Graduate School,Married,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Super Prime,More than 25 months,"Less than $1,000"
5100,Male,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Business,Prime,15 to 20 months,"Less than $1,000"
2400,Female,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Near Prime,20 to 25 months,"Less than $1,000"
3300,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,New York,Salaried,Near Prime,20 to 25 months,"Less than $1,000"
6000,Female,Graduate School,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Prime,15 to 20 months,"Less than $1,000"
600,Male,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
3000,Female,University,Married,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,New York,Salaried,Near Prime,10 to 15 months,"$1,000 to $5,000"
1200,Male,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Salaried,Sub Prime,10 to 15 months,"Less than $1,000"
2400,Female,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Near Prime,15 to 20 months,"Less than $1,000"
1500,Male,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Salaried,Sub Prime,Less than 10 months,"More than $20,000"
900,Female,High School,Single,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Business,Deep Prime,10 to 15 months,"Less than $1,000"
3000,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Near Prime,10 to 15 months,"Less than $1,000"
6300,Female,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Business,Prime,20 to 25 months,"More than $20,000"
7200,Female,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Salaried,Prime,15 to 20 months,"Less than $1,000"
3300,Male,Graduate School,Others,Above 50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Ohio,Salaried,Near Prime,15 to 20 months,"$1,000 to $5,000"
10800,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,Less than $1000,Less than $1000,$1000 to $5000,Active,Florida,Salaried,Super Prime,More than 25 months,"$1,000 to $5,000"
3600,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Salaried,Near Prime,Less than 10 months,"More than $20,000"
900,Female,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Deep Prime,Less than 10 months,"Less than $1,000"
7200,Female,University,Married,31-40,Within Due Date,Within Due Date,$5000 to $10000,$5000 to $10000,Less than $1000,Less than $1000,Active,Florida,Salaried,Prime,15 to 20 months,"$5,000 to $10,000"
15000,Female,High School,Single,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,$1000 to $5000,Active,Florida,Salaried,Super Prime,More than 25 months,"$1,000 to $5,000"
3900,Female,University,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Ohio,Business,Near Prime,More than 25 months,"$1,000 to $5,000"
4500,Female,High School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Business,Near Prime,10 to 15 months,"Less than $1,000"
12300,Female,Graduate School,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Super Prime,More than 25 months,"Less than $1,000"
2400,Male,University,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Washington,Business,Near Prime,20 to 25 months,"$1,000 to $5,000"
4200,Female,Graduate School,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Salaried,Near Prime,15 to 20 months,"Less than $1,000"
2400,Female,High School,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Near Prime,10 to 15 months,"Less than $1,000"
3000,Female,University,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Washington,Business,Near Prime,10 to 15 months,"$1,000 to $5,000"
6000,Female,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Business,Prime,More than 25 months,"Less than $1,000"
8100,Male,Graduate School,Married,41-50,After 3 Months,After 3 Months,$5000 to $10000,$5000 to $10000,Less than $1000,Less than $1000,Active,Virginia,Business,Prime,10 to 15 months,"$5,000 to $10,000"
600,Male,High School,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Deep Prime,10 to 15 months,"Less than $1,000"
1500,Male,University,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Sub Prime,10 to 15 months,"Less than $1,000"
9000,Female,Graduate School,Single,41-50,Within Due Date,Within Due Date,$5000 to $10000,$5000 to $10000,Less than $1000,Less than $1000,Active,Ohio,Business,Prime,10 to 15 months,"$5,000 to $10,000"
2400,Female,High School,Married,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Washington,Business,Near Prime,10 to 15 months,"$1,000 to $5,000"
4500,Female,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Business,Near Prime,10 to 15 months,"Less than $1,000"
3000,Female,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,New York,Salaried,Near Prime,20 to 25 months,"Less than $1,000"
5100,Male,Graduate School,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Virginia,Business,Prime,20 to 25 months,"$1,000 to $5,000"
10500,Female,Graduate School,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Salaried,Sub Prime,10 to 15 months,"Less than $1,000"
9600,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Prime,20 to 25 months,"$1,000 to $5,000"
2400,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Florida,Business,Near Prime,20 to 25 months,"Less than $1,000"
12900,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,Less than $1000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Business,Super Prime,More than 25 months,"Less than $1,000"
600,Female,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
9300,Female,Others,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Business,Prime,More than 25 months,"Less than $1,000"
900,Male,University,Single,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Business,Deep Prime,Less than 10 months,"Less than $1,000"
2400,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Ohio,Salaried,Near Prime,20 to 25 months,"$1,000 to $5,000"
1500,Male,University,Single,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Sub Prime,Less than 10 months,"Less than $1,000"
8700,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,$5000 to $10000,$5000 to $10000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Prime,20 to 25 months,"$5,000 to $10,000"
1200,Female,High School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Sub Prime,Less than 10 months,"Less than $1,000"
6900,Female,University,Married,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Prime,10 to 15 months,"Less than $1,000"
1500,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Ohio,Business,Sub Prime,Less than 10 months,"$1,000 to $5,000"
4800,Female,Graduate School,Single,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Near Prime,10 to 15 months,"Less than $1,000"
1200,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Sub Prime,15 to 20 months,"Less than $1,000"
600,Male,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Business,Deep Prime,10 to 15 months,"Less than $1,000"
4500,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Near Prime,10 to 15 months,"Less than $1,000"
2400,Male,High School,Married,41-50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,New York,Business,Near Prime,Less than 10 months,"$1,000 to $5,000"
10800,Female,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Salaried,Super Prime,20 to 25 months,"$1,000 to $5,000"
600,Male,Graduate School,Single,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,$1000 to $5000,Less than $1000,Churn,Ohio,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
12600,Female,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Super Prime,More than 25 months,"Less than $1,000"
3000,Male,University,Single,21-30,Within Due Date,After 3 Months,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Ohio,Business,Near Prime,20 to 25 months,"$1,000 to $5,000"
1500,Female,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Sub Prime,Less than 10 months,"Less than $1,000"
900,Female,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
7200,Female,University,Single,21-30,Within Due Date,Within Due Date,$5000 to $10000,$5000 to $10000,Less than $1000,Less than $1000,Active,Florida,Salaried,Prime,15 to 20 months,"$5,000 to $10,000"
9000,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Prime,More than 25 months,"Less than $1,000"
600,Male,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
1500,Male,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Sub Prime,Less than 10 months,"Less than $1,000"
600,Male,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
2100,Male,University,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Ohio,Salaried,Near Prime,20 to 25 months,"$1,000 to $5,000"
900,Male,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Business,Deep Prime,Less than 10 months,"Less than $1,000"
1500,Male,High School,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Business,Sub Prime,10 to 15 months,"$1,000 to $5,000"
900,Male,High School,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Washington,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
7800,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Florida,Business,Prime,10 to 15 months,"$1,000 to $5,000"
6900,Male,Graduate School,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Business,Prime,15 to 20 months,"Less than $1,000"
2100,Female,University,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Florida,Salaried,Near Prime,20 to 25 months,"Less than $1,000"
4200,Male,Graduate School,Married,Above 50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Ohio,Salaried,Near Prime,Less than 10 months,"$1,000 to $5,000"
1500,Male,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Business,Sub Prime,Less than 10 months,"Less than $1,000"
7500,Male,University,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Prime,10 to 15 months,"Less than $1,000"
1500,Male,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Sub Prime,Less than 10 months,"Less than $1,000"
15000,Female,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Business,Super Prime,More than 25 months,"Less than $1,000"
1500,Male,Graduate School,Married,41-50,Within Due Date,Within Due Date,$1000 to $5000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Sub Prime,10 to 15 months,"Less than $1,000"
4200,Female,University,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,Less than $1000,Less than $1000,Less than $1000,Active,Washington,Salaried,Near Prime,10 to 15 months,"$1,000 to $5,000"
1500,Female,University,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Business,Sub Prime,10 to 15 months,"Less than $1,000"
5700,Female,Graduate School,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Business,Prime,More than 25 months,"Less than $1,000"
2700,Female,High School,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Washington,Business,Near Prime,20 to 25 months,"$1,000 to $5,000"
5100,Female,University,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Business,Prime,20 to 25 months,"$1,000 to $5,000"
4200,Female,University,Single,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Near Prime,More than 25 months,"$1,000 to $5,000"
4800,Female,High School,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Business,Near Prime,20 to 25 months,"Less than $1,000"
5400,Male,Graduate School,Married,31-40,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Business,Prime,15 to 20 months,"$1,000 to $5,000"
900,Female,University,Married,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
3600,Female,University,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Near Prime,Less than 10 months,"Less than $1,000"
900,Female,University,Married,31-40,Within Due Date,After 3 Months,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Deep Prime,10 to 15 months,"Less than $1,000"
8400,Female,University,Married,Above 50,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Washington,Salaried,Prime,20 to 25 months,"$1,000 to $5,000"
6900,Female,Graduate School,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Business,Prime,More than 25 months,"Less than $1,000"
7500,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Ohio,Salaried,Prime,More than 25 months,"Less than $1,000"
9900,Female,Graduate School,Married,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Salaried,Prime,More than 25 months,"Less than $1,000"
9600,Male,Graduate School,Single,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Business,Prime,20 to 25 months,"Less than $1,000"
900,Female,High School,Married,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Washington,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
8400,Female,Graduate School,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Florida,Salaried,Prime,15 to 20 months,"$1,000 to $5,000"
900,Female,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Business,Deep Prime,10 to 15 months,"Less than $1,000"
11400,Female,High School,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Business,Sub Prime,10 to 15 months,"Less than $1,000"
3000,Female,High School,Married,21-30,After 3 Months,After 3 Months,$5000 to $10000,$1000 to $5000,Less than $1000,Less than $1000,Churn,Virginia,Salaried,Near Prime,More than 25 months,"$1,000 to $5,000"
5100,Female,University,Single,21-30,Within Due Date,Within Due Date,$1000 to $5000,$1000 to $5000,Less than $1000,Less than $1000,Active,Virginia,Salaried,Prime,10 to 15 months,"$1,000 to $5,000"
9000,Female,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Prime,15 to 20 months,"Less than $1,000"
1500,Male,High School,Married,Above 50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,Florida,Business,Sub Prime,Less than 10 months,"Less than $1,000"
600,Male,University,Single,41-50,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Ohio,Business,Deep Prime,Less than 10 months,"Less than $1,000"
600,Male,University,Single,21-30,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Churn,Virginia,Salaried,Deep Prime,Less than 10 months,"Less than $1,000"
10800,Female,Graduate School,Married,31-40,Within Due Date,Within Due Date,Less than $1000,Less than $1000,Less than $1000,Less than $1000,Active,New York,Salaried,Super Prime,20 to 25 months,"Less than $1,000"
